PLAYER,SEASON,FGM,FGA,TPM,TPA,FTM,FTA
Shabazz Muhammad,2016,317,681,44,152,185,242
Jerryd Bayless,2016,185,437,101,230,70,90
Ersan Ilyasova,2016,280,661,96,258,111,154
Myles Turner,2016,264,530,3,13,88,121
Mario Chalmers,2016,182,444,46,149,218,262
Allen Crabbe,2016,312,678,112,284,98,113
Jared Sullinger,2016,351,807,29,104,103,161
Marco Belinelli,2016,245,635,91,297,115,138
Al-Farouq Aminu,2016,299,719,126,349,115,156
Robin Lopez,2016,356,661,0,1,126,159
Gorgui Dieng,2016,308,579,6,20,205,248
Ricky Rubio,2016,219,586,62,190,266,314
Matt Barnes,2016,264,693,119,370,111,138
Kelly Olynyk,2016,253,556,85,210,96,128
Nikola Jokic,2016,306,599,28,84,154,190
Ramon Sessions,2016,280,592,36,111,214,283
Patrick Beverley,2016,258,594,124,310,60,88
Terrence Ross,2016,270,626,131,338,49,62
Hollis Thompson,2016,270,681,149,393,69,96
Dion Waiters,2016,282,705,86,241,112,157
Carl Landry,2016,139,250,6,13,67,91
Gary Neal,2016,151,324,41,99,47,55
Jerami Grant,2016,251,599,35,146,212,322
Marcus Thornton,2016,216,542,91,271,67,79
Courtney Lee,2016,290,639,82,217,99,118
Manu Ginobili,2016,197,435,70,179,91,112
Raymond Felton,2016,277,682,60,213,149,176
Doug McDermott,2016,291,644,110,259,72,84
Kevin Martin,2016,156,419,49,135,153,172
Derrick Williams,2016,254,565,44,150,194,256
Kyle Korver,2016,268,615,158,398,45,54
Aaron Gordon,2016,274,580,42,141,129,193
Nene,2016,209,384,0,3,107,185
Jordan Farmar,2016,42,100,16,45,10,10
Marcus Smart,2016,184,529,61,241,129,166
Mason Plumlee,2016,267,517,0,4,215,335
Alex Len,2016,264,623,1,7,174,239
Gerald Green,2016,230,587,84,260,72,92
Rodney Stuckey,2016,183,444,20,83,131,158
Archie Goodwin,2016,176,422,23,99,130,193
