PLAYER,SEASON,FGM,FGA,TPM,TPA,FTM,FTA
Matt Barnes,2012,175,387,46,138,95,128
Rashard Lewis,2012,85,221,16,67,31,37
Luc Mbah a Moute,2012,133,261,1,4,66,103
Metta World Peace,2012,183,465,56,189,71,115
Patrick Patterson,2012,225,511,0,3,40,57
Mehmet Okur,2012,52,139,23,72,3,5
Willie Green,2012,153,325,50,113,48,56
Jimmer Fredette,2012,172,446,78,216,40,48
Avery Bradley,2012,200,402,22,54,62,78
Samuel Dalembert,2012,200,395,0,1,90,113
John Lucas III,2012,143,358,55,140,28,32
Daniel Gibson,2012,87,248,55,139,34,43
John Salmons,2012,141,345,33,112,29,45
Jerome Dyson,2012,19,48,1,8,28,36
Anthony Randolph,2012,94,200,0,1,64,84
Markieff Morris,2012,174,436,43,124,76,106
DeAndre Jordan,2012,206,326,0,1,74,141
Anthony Parker,2012,141,326,50,138,35,56
Alec Burks,2012,153,357,15,45,104,143
Terrence Williams,2012,85,198,16,46,27,46
Amir Johnson,2012,196,340,2,5,58,84
Omri Casspi,2012,166,412,53,168,74,108
Charlie Villanueva,2012,35,91,15,45,6,7
Brandan Wright,2012,144,233,0,1,52,82
Ronnie Brewer,2012,190,445,19,69,56,100
Martell Webster,2012,115,272,37,109,57,72
Mickael Pietrus,2012,104,270,61,182,20,31
Norris Cole,2012,177,450,21,76,66,85
DJ White,2012,174,353,1,1,43,61
Gary Forbes,2012,112,271,29,83,66,91
Manny Harris,2012,60,150,12,36,41,59
Lamar Odom,2012,123,349,28,111,58,98
Matt Bonner,2012,154,350,105,250,16,21
Kirk Hinrich,2012,122,295,47,136,25,32
Jason Maxiell,2012,183,383,0,2,58,106
Hakim Warrick,2012,74,180,1,10,76,99
Boris Diaw,2012,156,351,31,99,22,35
Raja Bell,2012,81,174,34,87,21,25
Ivan Johnson,2012,141,275,2,6,72,100
Ed Davis,2012,172,335,0,1,71,106
Toney Douglas,2012,94,290,27,117,22,26
Jason Kidd,2012,99,273,79,223,22,28
Baron Davis,2012,68,184,26,85,16,24
Sebastian Telfair,2012,141,342,33,105,53,67
Wayne Ellington,2012,122,302,35,108,32,40
Mike Miller,2012,91,209,53,117,2,5
Wesley Johnson,2012,158,397,53,169,24,34
Al-Farouq Aminu,2012,150,365,13,47,86,114
D.J. Kennedy,2012,5,12,2,4,0,2
Gustavo Ayon,2012,140,261,0,1,39,63
Henry Walker,2012,68,171,36,113,17,20
Beno Udrih,2012,146,332,17,59,39,55
Von Wafer,2012,71,157,14,39,38,54
Charles Jenkins,2012,130,291,3,20,34,39
Ian Mahinmi,2012,130,238,0,1,94,147
Will Bynum,2012,74,194,7,29,49,64
Jannero Pargo,2012,105,253,53,138,19,20
Tyrus Thomas,2012,120,327,1,3,63,83
Ekpe Udoh,2012,127,295,0,2,86,114
Derek Fisher,2012,129,348,35,109,57,67
Nikola Vucevic,2012,131,291,3,8,18,34
Donald Sloan,2012,79,198,2,25,23,30
Xavier Silas,2012,4,15,1,6,2,3
Roger Mason Jr.,2012,103,258,59,154,21,27
Shaun Livingston,2012,127,271,2,3,62,79
Daequan Cook,2012,109,296,79,228,14,22
Donte Greene,2012,108,266,25,105,44,55
Dahntay Jones,2012,115,281,33,77,83,99
Xavier Henry,2012,90,228,7,17,52,85
Tracy McGrady,2012,101,231,15,33,56,83
Armon Johnson,2012,20,43,1,3,6,6
Steve Blake,2012,101,268,53,158,21,27
Dante Cunningham,2012,144,279,0,2,45,69
Kenyon Martin,2012,97,220,3,13,20,54
Sundiata Gaines,2012,102,271,28,82,59,96
Luke Babbitt,2012,71,173,43,100,17,20
Derrick Byars,2012,3,11,0,6,4,4
Jordan Hill,2012,82,165,0,3,30,47
Tobias Harris,2012,79,169,6,23,44,54
Earl Boykins,2012,12,36,2,9,13,15
Maurice Evans,2012,45,112,17,45,10,13
Jeremy Tyler,2012,88,209,0,1,29,52
Damion James,2012,13,35,0,1,8,12
Marcus Camby,2012,128,287,2,5,29,64
Thabo Sefolosha,2012,67,155,31,71,38,43
Mike James,2012,20,49,6,10,7,8
Shane Battier,2012,113,292,62,183,23,37
Francisco Garcia,2012,86,229,38,131,24,30
Jon Leuer,2012,97,191,3,9,21,28
Austin Daye,2012,73,227,13,62,35,43
Jan Vesely,2012,117,218,0,1,33,62
Chris Singleton,2012,116,312,44,127,30,44
Enes Kanter,2012,117,236,0,1,70,105
DaJuan Summers,2012,28,65,5,16,7,9
Shawne Williams,2012,42,147,21,87,8,11
Jonny Flynn,2012,46,131,10,34,29,39
Nick Collison,2012,120,201,0,1,44,62
Ben Uzoh,2012,35,99,0,1,11,19
Vladimir Radmanovic,2012,74,197,50,135,22,29
Quentin Richardson,2012,74,197,42,121,25,30
DeMarre Carroll,2012,43,105,7,19,14,16
Jordan Hamilton,2012,48,111,17,47,2,5
Andrew Goudelock,2012,68,174,28,75,11,12
Josh Harrellson,2012,63,149,20,59,16,26
Jared Jeffries,2012,59,144,3,16,49,72
Justin Dentmon,2012,10,28,2,14,4,6
Travis Outlaw,2012,60,175,16,60,31,46
Johan Petro,2012,109,260,1,1,31,37
Gilbert Arenas,2012,26,64,13,39,7,10
Quincy Pondexter,2012,108,239,22,73,33,53
Eric Maynor,2012,14,39,6,17,4,4
Keith Bogans,2012,8,21,3,12,2,5
Anthony Tolliver,2012,71,182,25,101,41,55
Devin Ebanks,2012,37,89,0,9,23,35
Keyon Dooling,2012,66,163,27,81,23,31
Cory Higgins,2012,52,160,4,20,42,60
Lance Thomas,2012,57,126,0,1,52,62
A.J. Price,2012,59,174,26,88,28,35
Nolan Smith,2012,67,180,13,45,20,28
Chris Duhon,2012,85,203,50,119,17,21
James Anderson,2012,66,174,19,68,39,52
Jamaal Tinsley,2012,57,141,10,37,13,17
Elliot Williams,2012,37,74,8,27,6,18
Terrel Harris,2012,29,83,8,39,14,21
Ronnie Price,2012,49,130,13,44,20,25
T.J. Ford,2012,19,43,2,8,11,14
James Jones,2012,57,150,46,114,25,30
Jerry Stackhouse,2012,37,100,13,38,21,23
Shelvin Mack,2012,88,220,12,42,42,59
Larry Sanders,2012,84,184,0,2,18,38
Dominic McGuire,2012,94,210,0,4,39,53
Edwin Ubiles,2012,5,18,1,5,3,3
Morris Almond,2012,6,17,1,3,1,3
Courtney Fortson,2012,11,32,3,13,10,15
Craig Smith,2012,59,117,0,1,38,53
Eric Bledsoe,2012,49,126,6,30,28,44
Malcolm Lee,2012,23,59,2,10,14,17
Sam Young,2012,45,127,5,17,19,26
Rasual Butler,2012,41,133,21,77,7,12
Damien Wilkins,2012,76,193,7,23,34,54
Troy Murphy,2012,77,171,28,67,6,9
Charles Hayes,2012,73,170,0,2,26,39
Marquis Daniels,2012,52,143,0,10,17,23
Reggie Jackson,2012,51,159,13,62,25,29
Walker Russell,2012,33,95,4,13,14,22
Ronny Turiaf,2012,19,33,0,1,13,22
Renaldo Balkman,2012,16,32,2,9,8,11
Earl Watson,2012,54,160,10,52,31,46
Josh Childress,2012,48,99,4,24,0,2
DeShawn Stevenson,2012,49,172,41,145,9,16
E'Twaun Moore,2012,43,113,17,45,7,7
Bobby Simmons,2012,28,90,20,60,4,7
Luke Harangody,2012,23,65,5,21,9,12
Jeremy Pargo,2012,50,150,10,38,16,27
Daniel Orton,2012,17,30,0,1,11,25
Ish Smith,2012,31,81,3,9,7,10
Josh McRoberts,2012,56,118,3,7,23,36
Nazr Mohammed,2012,79,169,0,1,13,23
Matt Carroll,2012,52,157,8,43,30,38
Sasha Pavlovic,2012,50,128,17,58,3,8
Dominique Jones,2012,29,73,1,8,29,37
Eduardo Najera,2012,24,64,8,29,2,4
Mike Bibby,2012,35,124,27,85,6,8
Yi Jianlian,2012,31,82,3,10,14,21
Jimmy Butler,2012,32,79,2,11,43,56
Brian Cook,2012,31,98,10,50,9,10
Lance Stephenson,2012,47,125,4,30,8,17
Christian Eyenga,2012,6,25,1,3,4,8
Darius Morris,2012,18,42,4,9,6,9
Trey Thompkins,2012,24,61,4,13,5,7
Marcus Morris,2012,16,54,2,17,6,8
Brad Miller,2012,9,27,7,15,10,12
Ryan Gomes,2012,31,95,4,29,8,11
Jeff Foster,2012,9,18,1,1,6,9
Jamario Moon,2012,7,24,2,10,2,2
Josh Selby,2012,25,72,2,15,11,14
Andre Emmett,2012,4,7,0,1,5,8
Jeremy Evans,2012,27,42,0,1,8,16
Royal Ivey,2012,26,73,18,53,1,8
Hamed Haddadi,2012,26,48,0,1,18,26
Cory Joseph,2012,22,70,3,15,11,17
Jason Kapono,2012,21,55,8,27,4,4
Anthony Carter,2012,17,53,5,17,8,10
DeAndre Liggins,2012,12,25,0,4,9,19
Josh Davis,2012,10,27,4,13,4,8
Larry Owens,2012,4,11,2,5,3,4
Carldell Johnson,2012,11,35,4,15,1,3
Julyan Stone,2012,13,31,2,11,8,11
Craig Brackins,2012,9,33,3,9,1,2
Tony Battie,2012,19,51,0,1,4,4
Andres Nocioni,2012,5,20,1,6,6,11
Justin Harper,2012,9,31,2,13,0,1
Lazar Hayward,2012,13,38,4,14,7,12
Ben Wallace,2012,34,86,1,4,16,47
Tyler Honeycutt,2012,8,24,1,3,3,5
Larry Hughes,2012,5,22,1,7,1,2
Brian Scalabrine,2012,14,30,1,7,3,6
Jon Brockman,2012,15,45,0,1,7,15
Brian Cardinal,2012,14,55,10,49,5,6
Dennis Horner,2012,1,4,0,1,3,4
Kevin Durant,2011,711,1538,145,414,594,675
LeBron James,2011,758,1485,92,279,503,663
Carmelo Anthony,2011,684,1503,95,251,507,605
Dwyane Wade,2011,692,1384,63,206,494,652
Kobe Bryant,2011,740,1639,115,356,483,583
Amar'e Stoudemire,2011,744,1482,10,23,473,597
Derrick Rose,2011,711,1597,128,385,476,555
Monta Ellis,2011,726,1611,137,379,340,431
Kevin Martin,2011,553,1267,176,459,594,669
Dirk Nowitzki,2011,610,1179,66,168,395,443
Dwight Howard,2011,619,1044,0,7,546,916
Blake Griffin,2011,696,1376,7,24,446,695
Eric Gordon,2011,427,949,106,291,287,348
Russell Westbrook,2011,614,1390,34,103,531,631
LaMarcus Aldridge,2011,707,1415,4,23,351,444
Andrea Bargnani,2011,525,1173,77,223,287,350
Danny Granger,2011,535,1260,157,407,395,466
Brook Lopez,2011,644,1309,0,1,385,489
Kevin Love,2011,482,1026,88,211,424,499
Deron Williams,2011,428,975,105,317,348,412
Zach Randolph,2011,598,1188,8,43,300,396
Rudy Gay,2011,409,869,57,144,194,241
Michael Beasley,2011,561,1246,60,164,219,291
David West,2011,528,1040,2,9,264,327
Paul Pierce,2011,507,1021,111,297,386,449
Pau Gasol,2011,593,1120,1,3,354,430
Chris Bosh,2011,524,1056,6,25,384,471
Stephen Curry,2011,505,1053,151,342,212,227
Stephen Jackson,2011,435,1059,121,359,249,305
Luis Scola,2011,569,1129,0,3,214,290
Joe Johnson,2011,514,1161,89,300,195,243
Antawn Jamison,2011,374,876,91,263,171,234
Tyreke Evans,2011,382,933,43,148,205,266
Tony Parker,2011,555,1069,25,70,233,303
Luol Deng,2011,531,1155,115,333,253,336
Nick Young,2011,412,935,105,271,186,228
Manu Ginobili,2011,441,1018,154,441,357,410
Paul Millsap,2011,525,988,9,23,256,338
DeMar DeRozan,2011,539,1154,5,52,327,402
Andray Blatche,2011,426,957,4,18,220,283
Chauncey Billups,2011,339,794,146,363,384,419
Josh Smith,2011,497,1041,51,154,229,316
Ray Allen,2011,480,978,168,378,193,219
David Lee,2011,496,978,1,3,210,267
John Wall,2011,398,972,34,115,301,393
Dorell Wright,2011,485,1146,194,516,180,228
Brandon Jennings,2011,361,926,98,303,199,246
Chris Paul,2011,430,928,71,183,337,384
Wesley Matthews,2011,440,979,154,378,266,315
Jason Terry,2011,492,1091,127,351,182,214
Gerald Wallace,2011,386,851,62,186,279,374
Danilo Gallinari,2011,265,640,103,293,337,391
Jason Richardson,2011,472,1056,189,479,116,159
Raymond Felton,2011,427,1005,116,329,194,241
Rodney Stuckey,2011,363,827,26,90,330,381
Al Horford,2011,513,921,2,4,150,188
Wilson Chandler,2011,429,953,112,320,130,161
Devin Harris,2011,343,813,58,180,335,402
Caron Butler,2011,170,378,28,65,68,88
Elton Brand,2011,502,981,0,1,213,273
Kevin Garnett,2011,434,822,1,5,187,217
Steve Nash,2011,399,811,81,205,227,249
Nene,2011,402,654,1,5,286,402
Lamar Odom,2011,473,893,68,178,166,246
D.J. Augustin,2011,399,958,111,333,269,297
Jamal Crawford,2011,368,874,119,349,222,260
Richard Hamilton,2011,288,671,55,144,146,172
DeMarcus Cousins,2011,432,1004,3,18,276,402
Andre Iguodala,2011,338,759,61,181,208,300
Tayshaun Prince,2011,473,1001,34,98,118,168
John Salmons,2011,373,898,83,219,195,240
Vince Carter,2011,389,891,116,321,128,173
Mo Williams,2011,291,730,79,244,151,177
Jrue Holiday,2011,446,999,81,222,172,209
JJ Hickson,2011,429,936,0,5,247,367
Beno Udrih,2011,412,824,65,182,197,228
Louis Williams,2011,323,795,88,253,293,356
Mike Conley,2011,423,953,80,217,181,247
Kyle Lowry,2011,345,809,129,343,192,251
Tim Duncan,2011,419,838,0,4,184,257
Jeff Green,2011,368,820,64,211,198,244
Ramon Sessions,2011,362,776,3,15,348,423
Leandro Barbosa,2011,294,653,72,213,109,137
Grant Hill,2011,399,825,45,114,213,257
Anthony Morrow,2011,279,620,110,260,96,107
Darren Collison,2011,398,870,41,124,202,232
Jameer Nelson,2011,374,838,119,297,130,162
Baron Davis,2011,289,693,81,239,101,131
CJ Miles,2011,366,899,109,339,159,196
Marcus Thornton,2011,350,807,88,240,145,184
Andrew Bogut,2011,367,742,0,4,96,217
Thaddeus Young,2011,458,847,6,22,123,174
Andre Miller,2011,388,844,4,37,249,292
Channing Frye,2011,358,829,171,439,89,107
Roy Hibbert,2011,410,890,0,4,205,275
Arron Afflalo,2011,312,627,105,248,138,163
Shawn Marion,2011,434,834,5,33,126,164
Nicolas Batum,2011,367,807,118,342,138,164
J.R. Smith,2011,341,784,124,318,163,221
Brandon Roy,2011,209,523,38,114,117,138
James Harden,2011,298,684,113,324,289,343
Corey Maggette,2011,253,559,28,78,271,325
Carl Landry,2011,345,687,0,4,213,288
Luke Ridnour,2011,319,681,81,184,121,137
Marc Gasol,2011,364,691,3,7,220,294
Glen Davis,2011,359,801,2,15,195,265
Rashard Lewis,2011,252,582,87,244,77,96
Andrei Kirilenko,2011,253,542,36,98,208,270
Joakim Noah,2011,211,402,0,1,139,188
Jordan Crawford,2011,192,500,33,128,73,84
Ty Lawson,2011,346,688,69,171,172,225
Daniel Gibson,2011,264,660,118,293,134,163
George Hill,2011,287,633,77,204,233,270
Carlos Delfino,2011,200,513,105,284,60,75
Drew Gooden,2011,156,362,3,20,81,102
O.J. Mayo,2011,304,747,96,264,99,131
Boris Diaw,2011,381,774,78,226,84,123
Brandon Bass,2011,332,645,0,2,190,233
Ben Gordon,2011,339,770,107,266,136,160
Mike Dunleavy,2011,240,520,102,254,100,125
Linas Kleiza,2011,178,406,39,131,41,65
Charlie Villanueva,2011,313,708,125,323,89,116
Trevor Ariza,2011,303,762,82,271,138,197
Richard Jefferson,2011,304,642,135,307,148,195
Tyler Hansbrough,2011,285,613,0,2,197,253
Hedo Turkoglu,2011,322,722,127,310,106,156
Gilbert Arenas,2011,269,734,97,327,120,153
Aaron Brooks,2011,220,587,70,236,124,140
Ryan Anderson,2011,226,525,134,341,95,117
Rajon Rondo,2011,318,670,10,43,75,132
Jared Dudley,2011,300,629,105,253,162,218
Toney Douglas,2011,314,755,143,383,85,107
Al Harrington,2011,281,675,117,328,86,117
Jodie Meeks,2011,242,570,138,348,152,170
Marco Belinelli,2011,302,691,134,324,98,125
Marvin Williams,2011,246,537,37,110,147,174
Emeka Okafor,2011,300,524,0,1,145,258
Kirk Hinrich,2011,278,623,75,188,106,126
Tyrus Thomas,2011,156,331,0,3,107,136
Marcin Gortat,2011,338,603,1,4,140,193
JaVale McGee,2011,332,604,0,3,134,230
JJ Redick,2011,197,447,87,219,112,128
Kris Humphries,2011,307,583,0,1,127,191
Martell Webster,2011,152,340,55,132,94,122
Serge Ibaka,2011,335,617,0,1,138,184
Jose Calderon,2011,262,596,57,156,88,103
Chase Budinger,2011,279,656,89,274,118,138
Gary Neal,2011,285,632,129,308,84,104
Sasha Vujacic,2011,239,595,97,262,81,96
Randy Foye,2011,206,531,71,217,133,149
Landry Fields,2011,299,602,86,219,113,147
Francisco Garcia,2011,207,475,81,224,65,76
Gerald Henderson,2011,259,570,7,36,128,163
Jordan Farmar,2011,255,651,109,304,82,100
Amir Johnson,2011,281,495,0,1,126,160
Ersan Ilyasova,2011,221,507,36,121,93,104
Jose Juan Barea,2011,285,649,66,189,133,157
Greg Monroe,2011,303,550,0,1,145,233
Sonny Weems,2011,228,513,17,61,72,94
Reggie Williams,2011,268,572,102,241,100,134
Travis Outlaw,2011,274,731,76,252,132,171
Jerryd Bayless,2011,218,517,49,146,166,206
Darrell Arthur,2011,310,624,0,6,109,134
Anderson Varejao,2011,114,216,0,2,54,81
Brandon Rush,2011,217,515,93,223,80,106
Wesley Johnson,2011,271,682,103,289,64,92
Tony Allen,2011,251,492,4,23,137,182
Jarrett Jack,2011,260,637,33,108,182,214
Jason Thompson,2011,271,534,0,3,121,200
Willie Green,2011,270,609,54,155,78,100
Shannon Brown,2011,273,643,74,212,92,101
Kenyon Martin,2011,185,362,2,9,42,72
Mike Bibby,2011,248,576,153,348,39,62
Omri Casspi,2011,225,546,92,247,68,101
Rudy Fernandez,2011,213,575,116,361,126,146
Metta World Peace,2011,261,658,83,233,92,136
Peja Stojakovic,2011,100,227,57,136,23,25
Josh Howard,2011,58,162,7,29,29,47
Rodrigue Beaubois,2011,94,223,25,83,23,30
Hakim Warrick,2011,228,446,1,11,212,294
Anthony Parker,2011,220,552,86,227,74,95
DeJuan Blair,2011,292,583,0,2,90,137
Courtney Lee,2011,253,576,71,174,95,120
Kyle Korver,2011,242,557,120,289,77,87
Samuel Dalembert,2011,268,567,0,2,108,148
Corey Brewer,2011,193,488,30,112,136,192
Tracy McGrady,2011,227,514,30,88,90,129
Raja Bell,2011,191,467,68,193,91,102
Will Bynum,2011,182,406,16,50,102,122
Jason Kidd,2011,215,596,133,391,67,77
Charles Hayes,2011,244,463,0,2,94,142
Paul George,2011,179,395,41,138,77,101
Samardo Samuels,2011,110,241,0,3,68,110
Anthony Randolph,2011,123,264,1,4,58,86
Shane Battier,2011,229,509,102,267,64,93
Goran Dragic,2011,192,441,56,155,83,133
Austin Daye,2011,193,471,69,172,82,108
Chris Wilcox,2011,187,322,0,1,50,89
Josh McRoberts,2011,211,386,23,60,88,119
Al Thornton,2011,205,431,4,26,110,142
Chris Douglas-Roberts,2011,117,273,15,46,74,89
Sam Young,2011,233,494,17,50,89,116
Matt Bonner,2011,172,371,105,230,32,43
Evan Turner,2011,225,529,14,44,101,125
Spencer Hawes,2011,264,568,9,37,47,88
Ryan Gomes,2011,207,505,72,211,61,85
Sebastian Telfair,2011,97,241,28,78,44,60
Mickael Pietrus,2011,143,365,85,236,39,57
Earl Boykins,2011,156,352,27,71,69,82
Keyon Dooling,2011,206,519,81,234,78,94
Nazr Mohammed,2011,234,448,0,1,67,112
James Johnson,2011,108,237,8,34,47,71
Taj Gibson,2011,234,502,1,8,100,148
Shawne Williams,2011,164,385,85,212,41,49
DeAndre Jordan,2011,234,341,0,1,98,217
Christian Eyenga,2011,130,306,25,91,18,28
Derek Fisher,2011,206,529,63,159,83,103
Nate Robinson,2011,150,376,65,200,36,44
Matt Barnes,2011,131,279,34,107,60,77
Luc Mbah a Moute,2011,198,428,0,7,133,188
Eric Bledsoe,2011,206,486,32,116,99,133
Anthony Tolliver,2011,141,313,47,115,105,131
Wayne Ellington,2011,160,397,48,121,42,53
Jermaine Taylor,2011,94,196,14,45,21,28
Shaun Livingston,2011,185,397,1,4,108,125
A.J. Price,2011,114,320,41,149,54,81
Eddie House,2011,128,321,68,175,38,40
Mario Chalmers,2011,155,388,83,231,54,62
Brad Miller,2011,132,296,40,107,78,94
Maurice Evans,2011,177,424,55,167,52,58
Patrick Patterson,2011,149,267,0,2,30,42
Dahntay Jones,2011,100,214,14,39,69,90
Ronnie Brewer,2011,205,427,6,27,87,133
Dante Cunningham,2011,218,472,1,13,45,62
Andres Nocioni,2011,118,277,42,118,49,61
Manny Harris,2011,108,289,34,92,71,93
Alonzo Gee,2011,121,264,17,51,72,92
James Jones,2011,146,346,123,287,60,72
Donte Greene,2011,156,386,45,154,43,65
DJ White,2011,111,219,0,2,46,64
Jordan Hill,2011,173,352,0,2,60,85
Al-Farouq Aminu,2011,160,406,45,143,92,119
Delonte West,2011,55,120,12,33,13,15
Yi Jianlian,2011,145,347,3,13,62,91
Kyle Weaver,2011,9,25,3,7,7,8
Luther Head,2011,68,164,25,64,39,50
Mike Miller,2011,81,202,43,118,23,34
Chris Andersen,2011,82,137,0,1,86,135
Daequan Cook,2011,79,181,65,154,16,20
Marquis Daniels,2011,114,232,4,21,39,57
Patty Mills,2011,135,328,47,133,36,47
Othyus Jeffers,2011,31,65,1,4,30,46
T.J. Ford,2011,91,236,6,32,35,48
Gordon Hayward,2011,142,293,35,74,69,97
Craig Smith,2011,104,188,0,5,50,68
Marreese Speights,2011,144,291,1,4,55,73
Jermaine O'Neal,2011,50,109,0,1,29,43
Antonio McDyess,2011,169,344,0,1,52,77
Trevor Booker,2011,139,253,0,1,68,101
DeShawn Stevenson,2011,128,330,94,249,33,43
Leon Powe,2011,59,119,0,2,40,72
Jonny Flynn,2011,108,296,31,100,32,42
Joey Graham,2011,82,179,9,30,29,36
Gary Forbes,2011,124,273,19,58,59,87
Jeff Teague,2011,133,304,18,48,77,97
Thabo Sefolosha,2011,157,333,28,102,59,79
Terrence Williams,2011,43,115,6,22,14,21
Vladimir Radmanovic,2011,137,318,70,173,30,34
Josh Childress,2011,121,214,1,16,29,59
Zabian Dowdell,2011,51,125,3,10,16,17
Zydrunas Ilgauskas,2011,162,319,0,1,36,46
CJ Watson,2011,146,394,44,112,69,93
Mehmet Okur,2011,22,62,5,16,15,20
James Posey,2011,81,241,67,212,11,15
Henry Walker,2011,104,236,59,153,31,44
Carlos Arroyo,2011,120,273,31,69,39,47
Brian Cook,2011,72,170,34,79,15,24
Rasual Butler,2011,79,237,46,136,18,27
Rodney Carney,2011,46,110,17,38,18,27
Marcus Camby,2011,117,294,0,1,43,70
Tiago Splitter,2011,101,191,0,1,76,140
Sundiata Gaines,2011,42,105,9,38,18,36
Brendan Haywood,2011,128,223,0,1,64,177
Reggie Evans,2011,42,103,0,1,48,88
Damion James,2011,46,103,0,3,18,28
Michael Redd,2011,18,45,4,17,4,4
Keith Bogans,2011,124,307,90,237,21,32
Quentin Richardson,2011,87,255,42,146,33,44
Matt Carroll,2011,89,199,17,46,40,52
Xavier Henry,2011,65,160,2,17,33,52
Jamario Moon,2011,101,248,38,123,15,17
Jason Smith,2011,136,307,0,2,59,70
Earl Watson,2011,126,307,36,107,55,82
Trey Johnson,2011,12,33,1,3,9,10
Eric Maynor,2011,134,333,37,96,43,59
Acie Law,2011,81,186,6,36,47,64
Alexis Ajinca,2011,59,133,12,34,13,18
Josh Powell,2011,94,208,0,1,36,45
Pooh Jeter,2011,106,259,6,30,37,41
Kurt Thomas,2011,95,186,1,1,20,32
Steve Blake,2011,110,306,73,193,26,30
Cartier Martin,2011,71,182,39,99,28,40
Jawad Williams,2011,41,126,13,45,9,12
Luke Harangody,2011,79,206,16,66,19,26
Earl Clark,2011,68,158,0,5,27,47
Lazar Hayward,2011,55,154,17,60,33,42
Derrick Brown,2011,74,131,5,10,32,60
Ben Uzoh,2011,61,144,3,8,33,56
James Anderson,2011,31,81,18,46,14,18
Mario West,2011,9,21,1,4,3,5
Jeremy Evans,2011,76,115,0,1,26,37
Julian Wright,2011,82,160,2,10,22,43
Greivis Vasquez,2011,95,233,25,86,34,44
Solomon Jones,2011,49,121,0,1,41,62
Johan Petro,2011,129,290,0,4,15,28
Steve Novak,2011,35,67,26,46,8,8
Damien Wilkins,2011,69,137,2,10,40,56
Stephen Graham,2011,81,200,5,21,31,38
DaJuan Summers,2011,28,69,9,21,9,20
Dominic McGuire,2011,72,182,0,2,30,39
David Andersen,2011,56,121,8,23,14,22
Jeff Foster,2011,80,167,0,3,27,48
Ronnie Price,2011,74,210,20,69,29,39
Anthony Carter,2011,45,106,12,40,8,8
Larry Owens,2011,15,32,6,13,4,9
Kosta Koufos,2011,68,150,0,2,24,43
Darnell Jackson,2011,77,158,3,11,30,49
Von Wafer,2011,67,159,18,67,32,38
Troy Murphy,2011,42,114,5,33,20,30
Devin Ebanks,2011,21,51,2,5,18,23
Ian Mahinmi,2011,55,98,0,2,63,82
Lance Stephenson,2011,13,39,0,5,11,14
Armon Johnson,2011,46,101,5,12,13,22
Roger Mason Jr.,2011,26,77,16,44,7,10
Quincy Pondexter,2011,73,180,18,50,24,34
Ben Wallace,2011,67,149,1,2,19,57
Dan Gadzuric,2011,54,129,0,1,10,27
Tony Battie,2011,45,96,2,3,8,14
Jeremy Lin,2011,28,72,1,5,19,25
Brian Cardinal,2011,43,100,42,87,17,18
Erick Dampier,2011,52,89,0,1,24,44
Hamed Haddadi,2011,30,58,0,1,15,23
Sasha Pavlovic,2011,29,72,12,31,6,10
Chris Duhon,2011,49,129,13,52,14,25
Garrett Temple,2011,20,68,10,37,7,17
Ish Smith,2011,43,115,3,10,12,21
Dominique Jones,2011,14,45,0,4,14,17
Pape Sy,2011,2,6,0,1,3,3
Mustafa Shakur,2011,21,59,1,10,8,15
Eduardo Najera,2011,26,72,11,34,6,11
Renaldo Balkman,2011,6,13,1,2,3,4
Jason Collins,2011,34,71,1,1,27,41
Kyrylo Fesenko,2011,44,100,0,1,18,46
Chris Quinn,2011,33,91,11,37,4,8
Willie Warren,2011,13,35,5,15,6,8
Jared Jeffries,2011,30,86,2,9,12,29
Hilton Armstrong,2011,37,76,2,4,16,33
Jerry Stackhouse,2011,3,12,1,4,5,7
Luke Walton,2011,38,116,8,34,7,10
Avery Bradley,2011,23,67,0,5,6,12
Charlie Bell,2011,12,43,6,21,2,4
Royal Ivey,2011,16,38,7,16,2,2
Lester Hudson,2011,6,24,4,15,2,4
Andy Rautins,2011,3,7,1,4,1,2
Quinton Ross,2011,26,59,0,3,5,14
Sean Marks,2011,19,44,2,2,5,8
Luke Babbitt,2011,15,55,3,16,3,9
Antonio Daniels,2011,2,5,0,2,2,2
John Lucas III,2011,1,3,0,1,0,2
Sherron Collins,2011,7,25,2,10,1,1
Ime Udoka,2011,5,21,0,8,4,8
Jason Kapono,2011,7,28,1,8,1,2
Patrick Ewing Jr.,2011,0,5,0,2,3,4
Kevin Durant,2010,794,1668,128,351,756,840
LeBron James,2010,768,1528,129,387,593,773
Carmelo Anthony,2010,688,1502,59,187,508,612
Kobe Bryant,2010,716,1569,99,301,439,541
Dwyane Wade,2010,719,1511,73,243,534,702
Monta Ellis,2010,631,1406,77,228,292,388
Dirk Nowitzki,2010,720,1496,51,121,536,586
Danny Granger,2010,488,1139,158,438,363,428
Chris Bosh,2010,600,1158,8,22,470,590
Amar'e Stoudemire,2010,704,1264,1,6,487,632
Gilbert Arenas,2010,253,616,63,181,153,207
Brandon Roy,2010,491,1038,73,221,343,440
Joe Johnson,2010,635,1386,129,350,220,269
Derrick Rose,2010,672,1373,16,60,259,338
Zach Randolph,2010,652,1336,15,52,362,465
Stephen Jackson,2010,600,1418,129,393,338,434
Kevin Martin,2010,289,693,70,210,298,340
David Lee,2010,686,1258,0,8,268,330
Tyreke Evans,2010,533,1165,36,141,348,465
Corey Maggette,2010,457,886,13,50,460,551
Rudy Gay,2010,600,1288,66,202,301,400
