Season,Player,Pos,Age,Tm,G,GS,MP,FGM,FGA,TPM,TPA,FTM,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
2016,Bojan Bogdanovic,SF,26,BRK,79,39,2115,324,749,129,338,110,132,36,219,99,29,5,115,119,887
2016,Andrew Bogut,C,31,GSW,70,66,1451,175,279,1,1,24,50,121,371,162,33,114,83,221,375
2016,Matt Bonner,C,35,SAS,30,2,206,29,57,15,34,3,4,3,24,9,6,1,3,16,76
2016,Devin Booker,SG,19,PHO,76,51,2108,367,867,99,289,215,256,27,160,200,44,20,160,225,1048
2016,Trevor Booker,PF,28,UTA,79,2,1632,190,388,12,41,71,106,166,286,84,59,41,81,169,463
2016,Chris Bosh,PF,31,MIA,53,53,1778,358,767,81,222,213,268,48,342,128,36,34,78,101,1010
2016,Avery Bradley,SG,25,BOS,76,72,2536,456,1019,147,407,96,123,48,172,158,117,19,109,164,1155
2016,Elton Brand,C,36,PHI,17,1,225,31,72,0,1,8,9,9,54,18,9,8,11,32,70
2016,Corey Brewer,SF,29,HOU,82,12,1669,212,552,61,224,105,140,42,157,109,84,19,78,168,590
2016,Aaron Brooks,PG,31,CHI,69,0,1108,188,469,66,185,49,64,21,80,180,30,10,82,132,491
2016,Anthony Brown,SF,23,LAL,29,11,599,39,126,20,70,17,20,9,61,19,14,5,15,34,115
2016,Lorenzo Brown,PG,25,PHO,8,0,61,8,25,1,8,3,4,0,7,11,3,1,9,4,20
2016,Markel Brown,SG,24,BRK,62,6,982,127,322,38,121,71,94,23,99,91,38,15,54,94,363
2016,Kobe Bryant,SF,37,LAL,66,66,1863,398,1113,133,467,232,281,41,206,184,62,13,129,115,1161
2016,Chase Budinger,SF,27,TOT,66,2,929,104,239,24,86,39,56,43,107,64,32,10,44,62,271
2016,Chase Budinger,SF,27,IND,49,2,729,81,194,20,69,34,48,31,90,49,29,9,31,46,216
2016,Chase Budinger,SF,27,PHO,17,0,200,23,45,4,17,5,8,12,17,15,3,1,13,16,55
2016,Reggie Bullock,SF,24,DET,37,0,429,43,98,22,53,14,15,14,54,27,10,2,8,29,122
2016,Trey Burke,PG,23,UTA,64,0,1366,262,634,88,256,67,82,18,94,148,35,6,80,86,679
2016,Alec Burks,SG,24,UTA,31,3,797,137,334,32,79,106,141,16,93,63,18,4,51,71,412
2016,Caron Butler,SF,35,SAC,17,1,176,25,59,3,18,10,12,5,17,10,9,1,3,19,63
2016,Jimmy Butler,SG,26,CHI,67,67,2474,470,1035,64,205,395,475,79,279,321,110,43,132,124,1399
2016,Rasual Butler,SF,36,SAS,46,0,432,49,104,15,49,11,16,3,53,24,13,23,8,11,124
2016,Bruno Caboclo,SF,20,TOR,6,1,43,1,12,1,7,0,0,1,1,1,2,1,4,2,3
2016,Jose Calderon,PG,34,NYK,72,72,2024,209,455,84,203,42,48,22,207,298,63,7,87,135,544
2016,Kentavious Caldwell-Pope,SG,22,DET,76,76,2789,403,960,114,369,185,228,70,212,138,110,17,105,167,1105
2016,Isaiah Canaan,SG,24,PHI,77,39,1966,260,722,176,485,150,180,20,154,137,56,12,91,133,846
2016,Clint Capela,C,21,HOU,77,35,1471,231,397,0,1,80,211,194,300,47,59,92,60,190,542
2016,DeMarre Carroll,SF,29,TOR,26,22,786,105,270,46,118,30,50,31,91,27,44,6,28,63,286
2016,Vince Carter,SG,39,MEM,60,3,1005,133,343,59,169,70,84,31,115,56,38,16,35,101,395
2016,Michael Carter-Williams,PG,24,MIL,54,37,1649,251,555,15,55,106,162,48,228,281,80,41,153,162,623
2016,Omri Casspi,SF,27,SAC,69,21,1880,299,622,112,274,103,159,58,352,95,56,17,94,154,813
2016,Willie Cauley-Stein,C,22,SAC,66,39,1412,191,339,0,2,81,125,134,218,37,48,66,46,146,463
2016,Mario Chalmers,PG,29,TOT,61,7,1373,182,444,46,149,218,262,24,133,230,88,13,110,181,628
2016,Mario Chalmers,PG,29,MIA,6,0,120,10,32,1,11,12,13,1,13,19,8,1,9,16,33
2016,Mario Chalmers,PG,29,MEM,55,7,1253,172,412,45,138,206,249,23,120,211,80,12,101,165,595
2016,Tyson Chandler,C,33,PHO,66,60,1618,183,314,0,1,106,171,175,401,64,36,44,93,145,472
2016,Rakeem Christmas,PF,24,IND,1,0,6,2,2,0,0,0,0,1,0,0,0,0,0,1,4
2016,Ian Clark,SG,24,GSW,66,1,578,89,202,30,84,28,34,13,55,64,17,13,43,58,236
2016,Coty Clarke,SF,23,BOS,3,0,6,2,4,2,2,0,0,0,1,0,0,0,1,0,6
2016,Jordan Clarkson,SG,23,LAL,79,79,2552,475,1098,111,320,164,204,93,220,192,88,7,135,168,1225
2016,Norris Cole,PG,27,NOP,45,23,1198,196,484,33,102,52,65,10,141,167,37,5,75,102,477
2016,Darren Collison,PG,28,SAC,74,15,2219,377,776,87,217,194,226,28,141,318,76,4,130,142,1035
2016,Nick Collison,PF,35,OKC,59,4,699,50,109,0,2,23,33,68,103,52,15,16,50,107,123
2016,Mike Conley,PG,28,MEM,56,56,1761,294,696,78,215,191,229,26,138,342,67,16,84,100,857
2016,Pat Connaughton,SG,23,POR,34,0,143,13,49,5,21,5,5,11,21,10,2,0,10,6,36
2016,Chris Copeland,PF,31,MIL,24,1,156,17,51,10,36,6,7,1,9,11,2,0,6,17,50
2016,Bryce Cotton,PG,23,TOT,8,0,39,4,10,0,3,0,0,0,0,3,3,0,5,2,8
2016,Bryce Cotton,PG,23,PHO,3,0,33,2,8,0,3,0,0,0,0,3,3,0,5,2,4
2016,Bryce Cotton,PG,23,MEM,5,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,4
2016,DeMarcus Cousins,C,25,SAC,65,65,2246,601,1332,70,210,476,663,158,589,214,101,92,249,236,1748
2016,Robert Covington,SF,25,PHI,67,49,1903,274,712,170,482,140,177,65,354,97,105,40,143,232,858
2016,Allen Crabbe,SG,23,POR,81,8,2105,311,678,112,285,98,113,27,189,99,63,16,64,192,832
2016,Jamal Crawford,SG,35,LAC,79,5,2126,379,939,117,344,245,271,20,125,183,52,12,113,122,1120
2016,Jae Crowder,SF,25,BOS,73,73,2308,360,813,122,363,196,239,70,303,135,126,35,83,198,1038
2016,Dante Cunningham,SF,28,NOP,80,46,1971,186,412,55,174,57,82,57,179,77,42,33,41,173,484
2016,Jared Cunningham,SG,24,TOT,44,3,410,36,105,12,39,36,55,3,35,20,14,2,21,41,120
2016,Jared Cunningham,SG,24,CLE,40,3,355,32,91,10,32,30,48,3,26,19,12,2,18,37,104
2016,Jared Cunningham,SG,24,MIL,4,0,55,4,14,2,7,6,7,0,9,1,2,0,3,4,16
2016,Seth Curry,PG,25,SAC,44,9,692,102,224,50,111,45,54,9,51,67,22,3,36,41,299
2016,Stephen Curry,PG,27,GSW,79,79,2700,805,1598,402,886,363,400,68,362,527,169,15,262,161,2375
2016,Troy Daniels,SG,24,CHO,43,0,476,89,187,59,122,5,9,7,50,21,11,3,24,40,242
2016,Anthony Davis,C,22,NOP,61,61,2164,560,1136,35,108,326,430,130,497,116,78,125,121,148,1481
2016,Ed Davis,PF,26,POR,81,0,1684,206,337,0,0,114,204,224,375,88,57,72,64,202,526
2016,Branden Dawson,PF,22,LAC,6,0,29,2,5,0,0,1,1,2,2,0,0,1,0,2,5
