playerID,yearID,stint,teamID,lgID,G,AB,PA,R,H,X2B,X3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
swarted01,1886,1,BR3,AA,122,471,544,95,132,13,10,3,58,37,,70,,,3,,,
thompsa01,1886,1,DTN,NL,122,503,538,101,156,18,13,8,89,13,,35,31,,,,,
wardjo01,1886,1,NY1,NL,122,491,510,82,134,17,5,2,81,36,,19,46,,,,,
welchcu01,1886,1,SL4,AA,138,563,606,114,158,31,13,2,95,59,,29,,,14,,,
werrijo01,1886,1,LS2,AA,136,561,596,75,140,20,14,3,62,19,,33,,,2,,,
whitebi02,1886,1,LS2,AA,135,557,595,96,143,17,10,1,66,14,,37,,,1,,,
whitede01,1886,1,DTN,NL,124,491,522,65,142,19,5,1,76,9,,31,35,,,,,
whitr01,1886,1,PT1,AA,136,511,568,70,122,13,4,0,55,15,,51,,,6,,,
willine01,1886,1,CHN,NL,121,430,510,69,93,17,8,6,58,13,,80,71,,,,,
wolfji01,1886,1,LS2,AA,130,545,575,93,148,17,12,3,61,23,,27,,,3,,,
allenmy01,1887,1,CL3,AA,117,463,504,66,128,22,10,4,77,26,,36,,,5,,,
ansonca01,1887,1,CHN,NL,122,472,533,107,164,33,13,7,102,27,,60,18,,1,,,
bierblo01,1887,1,PH4,AA,126,530,543,74,144,19,7,1,82,40,,13,,,0,,,
broutda01,1887,1,DTN,NL,123,500,577,153,169,36,20,12,101,34,,71,9,,6,,,
brownpe01,1887,1,LS2,AA,134,547,610,137,220,35,16,4,118,103,,55,,,8,,,
burnsoy01,1887,1,BL2,AA,140,551,619,122,188,33,19,9,99,58,,63,,,5,,,
carpehi01,1887,1,CN2,AA,127,498,521,70,124,12,6,1,50,44,,19,,,4,,,
colemjo01,1887,1,PIT,NL,115,475,507,75,139,21,11,2,54,25,,31,40,,1,,,
collihu01,1887,1,LS2,AA,130,559,600,122,162,22,8,1,66,71,,39,,,2,,,
comisch01,1887,1,SL4,AA,125,538,572,139,180,22,5,4,103,117,,27,,,7,,,
connoro01,1887,1,NY1,NL,127,471,554,113,134,26,22,17,104,43,,75,50,,8,,,
corkhpo01,1887,1,CN2,AA,128,541,559,79,168,19,11,5,97,30,,14,,,4,,,
davisju01,1887,1,BL2,AA,130,485,518,81,150,23,19,8,109,49,,28,,,5,,,
dennyje01,1887,1,IN3,NL,122,510,526,86,165,34,12,11,97,29,,13,22,,3,,,
fennefr01,1887,1,CN2,AA,134,526,612,133,140,15,16,8,97,74,,82,,,4,,,
fogarji01,1887,1,PHI,NL,126,495,587,113,129,26,12,8,50,102,,82,44,,10,,,
glassja01,1887,1,IN3,NL,122,483,534,91,142,18,7,0,40,62,,41,8,,10,,,
gleasbi01,1887,1,SL4,AA,135,598,647,135,172,19,1,0,76,23,,41,,,8,,,
gorege01,1887,1,NY1,NL,111,459,508,95,133,16,5,1,49,39,,42,18,,7,,,
greenbi01,1887,1,BL2,AA,118,495,550,114,130,16,6,0,65,71,,54,,,1,,,
griffmi01,1887,1,BL2,AA,136,532,595,142,160,32,13,3,94,94,,55,,,8,,,
hankifr01,1887,1,NY4,AA,127,512,550,79,137,29,11,1,71,19,,38,,,0,,,
hanlone01,1887,1,DTN,NL,118,471,503,79,129,13,7,4,69,69,,30,24,,2,,,
hinespa01,1887,1,WS8,NL,123,478,534,83,147,32,5,10,72,46,,48,24,,8,,,
hotalpe01,1887,1,CL3,AA,126,505,565,108,151,28,13,3,94,43,,53,,,7,,,
johnsdi01,1887,1,BSN,NL,127,507,523,87,131,13,20,5,77,52,,16,35,,0,,,
kellyki01,1887,1,BSN,NL,116,484,540,120,156,34,11,8,63,84,,55,40,,1,,,
kerinjo01,1887,1,LS2,AA,112,476,516,101,140,18,19,5,57,49,,38,,,2,,,
larkihe01,1887,1,PH4,AA,126,497,553,105,154,22,12,3,88,37,,48,,,8,,,
lathaar01,1887,1,SL4,AA,136,627,677,163,198,35,10,2,83,129,,45,,,5,,,
lyonsde01,1887,1,PH4,AA,137,570,623,128,209,43,14,6,102,73,,47,,,6,,,
mackre01,1887,1,LS2,AA,128,478,566,117,147,23,8,1,69,22,,83,,,5,,,
mcclebi01,1887,1,BR3,AA,136,548,634,109,144,24,6,1,53,70,,80,,,6,,,
mcgarch01,1887,1,PH4,AA,137,536,561,93,158,23,6,1,63,84,,23,,,2,,,
mckeaed01,1887,1,CL3,AA,132,539,600,97,154,16,13,2,54,76,,60,,,1,,,
mcphebi01,1887,1,CN2,AA,129,540,600,137,156,20,19,2,87,95,,55,,,5,,,
mctamji01,1887,1,BR3,AA,134,520,608,123,134,22,10,1,68,66,,76,,,12,,,
morrijo01,1887,1,BSN,NL,127,504,542,79,141,32,6,12,81,19,,37,86,,1,,,
shbi01,1887,1,BSN,NL,121,475,537,100,140,24,12,6,94,43,,60,30,,2,,,
nicolhu01,1887,1,CN2,AA,125,475,566,122,102,18,2,1,34,138,,86,,,5,,,
obrieda01,1887,1,NY4,AA,127,522,566,97,157,30,13,5,73,49,,40,,,4,,,
oneilti01,1887,1,SL4,AA,124,517,572,167,225,52,19,14,123,30,,50,,,5,,,
pfefffr01,1887,1,CHN,NL,123,479,514,95,133,21,6,16,89,57,,34,20,,1,,,
phillbi01,1887,1,BR3,AA,132,533,584,82,142,34,11,2,101,16,,45,,,6,,,
pinknge01,1887,1,BR3,AA,138,580,647,133,155,26,6,3,69,59,,61,,,6,,,
poormto01,1887,1,PH4,AA,135,585,630,140,155,18,19,4,61,88,,35,,,10,,,
