Team,GM,Team_Payroll,Winning_Percentage,Year,Relative_Payroll
Toronto Blue Jays,J.P. Ricciardi,45336500,0.494,2005,0.686843731147125
Toronto Blue Jays,J.P. Ricciardi,71915000,0.537,2006,0.9953593128088577
Toronto Blue Jays,J.P. Ricciardi,81942800,0.512,2007,0.9683985215870181
Toronto Blue Jays,J.P. Ricciardi,97793900,0.531,2008,1.223130375351535
Toronto Blue Jays,J.P. Ricciardi,80993657,0.463,2009,0.9961141740536162
Toronto Blue Jays,Alex Anthopoulos,62689357,0.525,2010,0.7434225801194133
Toronto Blue Jays,Alex Anthopoulos,62517800,0.5,2011,0.7209663373907222
Toronto Blue Jays,Alex Anthopoulos,75489200,0.451,2012,0.8803047223006528
Toronto Blue Jays,Alex Anthopoulos,117527800,0.457,2013,1.3002910718377798
Toronto Blue Jays,Alex Anthopoulos,132628700,0.512,2014,1.2556478375348648
Toronto Blue Jays,Alex Anthopoulos,138309664,0.574,2015,1.1294883695162476
Washington Nationals,Jim Bowden,48581500,0.5,2005,0.73600517738961
Washington Nationals,Jim Bowden,63143000,0.438,2006,0.873948037108944
Washington Nationals,Jim Bowden,37347500,0.451,2007,0.4413720764358938
Washington Nationals,Jim Bowden,54961000,0.366,2008,0.6874096294318534
Washington Nationals,Mike Rizzo,59328000,0.364,2009,0.7296554311438603
Washington Nationals,Mike Rizzo,61425000,0.426,2010,0.7284287823184239
Washington Nationals,Mike Rizzo,63681929,0.497,2011,0.7343912791094059
Washington Nationals,Mike Rizzo,81336143,0.605,2012,0.9484878734523771
Washington Nationals,Mike Rizzo,114056769,0.531,2013,1.2618886630513295
Washington Nationals,Mike Rizzo,134704437,0.593,2014,1.2752996525292144
Washington Nationals,Mike Rizzo,165655095,0.512,2015,1.352801371519557
