Event,Round,Diver,Country,Rank,DiveNo,Difficulty,JScore,Judge,JCountry
M3mSB,3 - Final,PLATAS Fernando,MEX,2,4,3,9,RUIZ-PEDREGUERA Rolando,CUB
M3mSB,3 - Final,PLATAS Fernando,MEX,2,4,3,8.5,GEAR Dennis,NZL
M3mSB,3 - Final,PLATAS Fernando,MEX,2,4,3,8.5,BOYS Beverley,CAN
M3mSB,3 - Final,PLATAS Fernando,MEX,2,4,3,8.5,JOHNSON Bente,NOR
M3mSB,3 - Final,PLATAS Fernando,MEX,2,4,3,8,BOUSSARD Michel,FRA
M3mSB,3 - Final,PLATAS Fernando,MEX,2,4,3,8,CALDERON Felix,PUR
M3mSB,3 - Final,PLATAS Fernando,MEX,2,4,3,8,CRUZ Julia,ESP
M3mSB,3 - Final,PLATAS Fernando,MEX,2,5,3.1,9,RUIZ-PEDREGUERA Rolando,CUB
M3mSB,3 - Final,PLATAS Fernando,MEX,2,5,3.1,8.5,GEAR Dennis,NZL
M3mSB,3 - Final,PLATAS Fernando,MEX,2,5,3.1,8,BOYS Beverley,CAN
M3mSB,3 - Final,PLATAS Fernando,MEX,2,5,3.1,9,JOHNSON Bente,NOR
M3mSB,3 - Final,PLATAS Fernando,MEX,2,5,3.1,7.5,BOUSSARD Michel,FRA
M3mSB,3 - Final,PLATAS Fernando,MEX,2,5,3.1,8.5,CALDERON Felix,PUR
M3mSB,3 - Final,PLATAS Fernando,MEX,2,5,3.1,8.5,CRUZ Julia,ESP
M3mSB,3 - Final,PLATAS Fernando,MEX,2,6,3.4,8.5,RUIZ-PEDREGUERA Rolando,CUB
M3mSB,3 - Final,PLATAS Fernando,MEX,2,6,3.4,8,GEAR Dennis,NZL
M3mSB,3 - Final,PLATAS Fernando,MEX,2,6,3.4,8.5,BOYS Beverley,CAN
M3mSB,3 - Final,PLATAS Fernando,MEX,2,6,3.4,8,JOHNSON Bente,NOR
M3mSB,3 - Final,PLATAS Fernando,MEX,2,6,3.4,7.5,BOUSSARD Michel,FRA
M3mSB,3 - Final,PLATAS Fernando,MEX,2,6,3.4,8.5,CALDERON Felix,PUR
M3mSB,3 - Final,PLATAS Fernando,MEX,2,6,3.4,8,CRUZ Julia,ESP
M3mSB,3 - Final,SAOUTINE Dmitri,RUS,3,1,3.1,8.5,RUIZ-PEDREGUERA Rolando,CUB
M3mSB,3 - Final,SAOUTINE Dmitri,RUS,3,1,3.1,9,GEAR Dennis,NZL
M3mSB,3 - Final,SAOUTINE Dmitri,RUS,3,1,3.1,9.5,BOYS Beverley,CAN
M3mSB,3 - Final,SAOUTINE Dmitri,RUS,3,1,3.1,9.5,JOHNSON Bente,NOR
M3mSB,3 - Final,SAOUTINE Dmitri,RUS,3,1,3.1,9,BOUSSARD Michel,FRA
M3mSB,3 - Final,SAOUTINE Dmitri,RUS,3,1,3.1,8.5,CALDERON Felix,PUR
M3mSB,3 - Final,SAOUTINE Dmitri,RUS,3,1,3.1,9.5,CRUZ Julia,ESP
M3mSB,3 - Final,SAOUTINE Dmitri,RUS,3,2,3.3,9,RUIZ-PEDREGUERA Rolando,CUB
M3mSB,3 - Final,SAOUTINE Dmitri,RUS,3,2,3.3,9.5,GEAR Dennis,NZL
M3mSB,3 - Final,SAOUTINE Dmitri,RUS,3,2,3.3,9,BOYS Beverley,CAN
M3mSB,3 - Final,SAOUTINE Dmitri,RUS,3,2,3.3,9,JOHNSON Bente,NOR
M3mSB,3 - Final,SAOUTINE Dmitri,RUS,3,2,3.3,8.5,BOUSSARD Michel,FRA
M3mSB,3 - Final,SAOUTINE Dmitri,RUS,3,2,3.3,9,CALDERON Felix,PUR
M3mSB,3 - Final,SAOUTINE Dmitri,RUS,3,2,3.3,8.5,CRUZ Julia,ESP
M3mSB,3 - Final,SAOUTINE Dmitri,RUS,3,3,3,7,RUIZ-PEDREGUERA Rolando,CUB
M3mSB,3 - Final,SAOUTINE Dmitri,RUS,3,3,3,7.5,GEAR Dennis,NZL
M3mSB,3 - Final,SAOUTINE Dmitri,RUS,3,3,3,7.5,BOYS Beverley,CAN
M3mSB,3 - Final,SAOUTINE Dmitri,RUS,3,3,3,8.5,JOHNSON Bente,NOR
M3mSB,3 - Final,SAOUTINE Dmitri,RUS,3,3,3,7.5,BOUSSARD Michel,FRA
M3mSB,3 - Final,SAOUTINE Dmitri,RUS,3,3,3,7.5,CALDERON Felix,PUR
M3mSB,3 - Final,SAOUTINE Dmitri,RUS,3,3,3,7,CRUZ Julia,ESP
M3mSB,3 - Final,SAOUTINE Dmitri,RUS,3,4,3,8.5,RUIZ-PEDREGUERA Rolando,CUB
M3mSB,3 - Final,SAOUTINE Dmitri,RUS,3,4,3,9,GEAR Dennis,NZL
